,channelGrouping,fullVisitorId,visitNumber,visitStartTime,device_operatingSystem,device_isMobile,geoNetwork_region,geoNetwork_metro,geoNetwork_city,geoNetwork_networkDomain,totals_hits,totals_pageviews,totals_timeOnSite,trafficSource_source,trafficSource_medium
687182,Referral,5128888224452873031,10,1478108541,Macintosh,False,New York,New York NY,New York,(not set),34,24,778,(direct),(none)
687186,Referral,4150045937038585512,2,1478105691,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),34,29,1290,(direct),(none)
687189,Organic Search,8740176326132717435,9,1478106329,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,Mountain View,bethpage.ws,35,30,989,(direct),(none)
687199,Organic Search,5486423312788260329,4,1478101640,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,twtelecom.net,45,30,773,(direct),(none)
687200,Direct,7463172420271311409,7,1478117894,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),45,37,704,(direct),(none)
687202,Referral,5507236446971002525,1,1478105223,Windows,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),47,37,2148,(direct),(none)
687207,Direct,8923647985251251100,2,1478100656,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),53,48,794,(direct),(none)
687208,Referral,7435052038545127483,21,1478131886,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),53,41,1944,(direct),(none)
687209,Direct,2141731581139824096,4,1478132782,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,pbcomputers.com,55,40,1276,(direct),(none)
687218,Referral,9029794295932939024,3,1478124914,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,bhn.net,76,51,877,mail.google.com,referral
687220,Referral,0682017787795795998,1,1478135487,Macintosh,False,New York,New York NY,New York,verizon.net,82,63,1065,(direct),(none)
687224,Direct,7949599289543078043,1,1478142008,Macintosh,False,New York,New York NY,New York,rcn.com,110,89,1908,(direct),(none)
687225,Referral,3039235683404225577,1,1478107415,Chrome OS,False,Colorado,Denver CO,Denver,(not set),132,96,1618,(direct),(none)
691934,Organic Search,2080439773261622224,2,1472571985,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,13,11,305,google,organic
691958,Direct,9831116840406512749,1,1472606991,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),13,12,392,(direct),(none)
691966,Referral,1169137498046427190,3,1472599227,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),14,12,192,(direct),(none)
692007,Organic Search,3630056635010786272,1,1472594459,Windows,False,California,San Francisco-Oakland-San Jose CA,San Francisco,mycingular.net,16,14,685,google,organic
692022,Paid Search,7187268430836970062,3,1472604143,iOS,True,New York,New York NY,New York,optonline.net,16,13,895,google,cpc
692027,Referral,5423482530849493225,3,1472599598,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),16,12,274,(direct),(none)
692042,Organic Search,0403029217967321711,1,1472600111,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),18,14,329,google,organic
692076,Referral,1672029100835337721,2,1472597792,Linux,False,Washington,Seattle-Tacoma WA,Kirkland,(not set),20,15,725,(direct),(none)
692081,Referral,115494075054963031,3,1472572445,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Jose,universityfightnight.com,20,16,846,(direct),(none)
692090,Direct,5763778291499877019,1,1472600332,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,universityfightnight.com,21,19,782,(direct),(none)
692099,Organic Search,5805087483556745945,1,1472540410,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,shawcable.net,22,22,1034,google,organic
692108,Referral,0631033932630241909,3,1472615797,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),23,18,568,(direct),(none)
692120,Referral,2707282189066861959,1,1472598022,Macintosh,False,Washington,Seattle-Tacoma WA,Kirkland,(not set),24,17,362,(direct),(none)
692143,Direct,9941820622412680350,1,1472561033,Chrome OS,False,Michigan,Detroit MI,Ann Arbor,(not set),28,22,1342,(direct),(none)
692153,Referral,0521283007599569568,4,1472580857,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),29,27,754,(direct),(none)
692157,Direct,85193654581094288,2,1472579351,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),30,26,2150,(direct),(none)
692162,Paid Search,5682452231721622029,7,1472580873,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),31,23,923,google,cpc
692168,Referral,7138878677525256548,3,1472589462,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),33,25,464,(direct),(none)
692169,Referral,6478380815842983691,1,1472578033,Macintosh,False,New York,New York NY,New York,(not set),34,26,601,(direct),(none)
692177,Referral,8541162479552380791,2,1472587142,Macintosh,False,New York,New York NY,New York,(not set),35,31,762,(direct),(none)
692179,Direct,8199120863421740501,1,1472594569,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),37,27,846,(direct),(none)
692182,Paid Search,1924849965126842610,1,1472602179,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,rr.com,38,27,494,google,cpc
692187,Referral,4645887311877010328,1,1472589996,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),40,32,438,(direct),(none)
692192,Organic Search,1705138501904167944,1,1472592260,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,dynamex.com,44,34,1477,google,organic
692205,Referral,7693430904622520313,3,1472563052,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),50,36,662,(direct),(none)
692210,Referral,1293664043695932921,1,1472610310,Linux,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),53,44,2430,(direct),(none)
692212,Referral,3681691345354167550,3,1472569309,Macintosh,False,District of Columbia,Washington DC (Hagerstown MD),Washington,verizon.net,54,37,587,(direct),(none)
692213,Referral,3095756132882918441,5,1472577781,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),55,48,937,(direct),(none)
692224,Referral,435373542373805498,2,1472570501,Macintosh,False,District of Columbia,Washington DC (Hagerstown MD),Washington,(not set),75,50,4721,(direct),(none)
692225,Direct,5423659711610895780,2,1472577586,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),78,53,1597,(direct),(none)
692226,Organic Search,9377429831454005466,10,1472595181,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,bhn.net,92,68,2392,google,organic
692228,Referral,6564820894573937867,3,1472579889,Linux,False,Illinois,Chicago IL,Chicago,(not set),105,65,1507,(direct),(none)
692229,Referral,5542047417982345824,3,1472575356,Macintosh,False,Illinois,Chicago IL,Chicago,(not set),106,76,1398,(direct),(none)
692232,Referral,4019564737576499248,5,1472576928,Macintosh,False,California,Los Angeles CA,Los Angeles,(not set),111,76,2145,(direct),(none)
693922,Direct,7189989800281794676,2,1473565065,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),13,11,163,(direct),(none)
694005,Referral,9838019020016513772,6,1473572882,Macintosh,False,New York,New York NY,New York,(not set),25,19,515,(direct),(none)
694039,Referral,6784397224104155338,1,1473550010,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),41,31,1054,(direct),(none)
694041,Referral,7341792877185657270,2,1473571330,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Santa Clara,(not set),41,34,1452,(direct),(none)
694046,Referral,443432155573447485,1,1473570100,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,44,36,1076,(direct),(none)
694047,Referral,0509428697410335222,3,1473575388,Macintosh,False,Washington,Seattle-Tacoma WA,Seattle,comcast.net,44,40,1697,(direct),(none)
694052,Paid Search,7800508396890862296,3,1473563927,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,49,38,1201,google,cpc
694057,Organic Search,215127855032555146,1,1473529213,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),53,37,3299,google,organic
694063,Organic Search,1748823667691888878,3,1473532455,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,57,42,941,google,organic
694065,Direct,9517876334933975316,2,1473544987,Android,True,Texas,Austin TX,Austin,(not set),57,43,2121,(direct),(none)
694070,Direct,3960449797691907911,1,1473491587,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,suddenlink.net,72,58,3433,(direct),(none)
694079,Direct,4904370510089389570,5,1473540459,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),126,85,2554,(direct),(none)
694081,Organic Search,966739175376367480,2,1473555357,Windows,False,Texas,San Antonio TX,San Antonio,rr.com,193,138,7433,google,organic
695333,Organic Search,387243570666153965,2,1475462185,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cableone.net,15,15,378,google,organic
695334,Referral,318787809582411406,3,1475432960,Chrome OS,False,California,San Francisco-Oakland-San Jose CA,San Jose,comcast.net,15,12,236,(direct),(none)
695338,Referral,1026027148817239709,3,1475445396,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),15,13,607,(direct),(none)
695341,Referral,1315772786660606104,11,1475433176,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),15,12,288,(direct),(none)
695364,Referral,4918912899129859194,2,1475462761,Macintosh,False,California,San Diego CA,San Diego,(not set),17,16,200,(direct),(none)
695383,Organic Search,0110888394822957190,2,1475442087,iOS,True,Texas,Dallas-Ft. Worth TX,Dallas,att.net,21,18,1013,google,organic
695388,Organic Search,1113923487317822738,2,1475436774,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,rr.com,22,18,553,google,organic
695389,Organic Search,5427034488751812445,4,1475442321,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,sbcglobal.net,23,17,188,google,organic
695390,Direct,8959460688137585797,4,1475450371,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),23,20,559,(direct),(none)
695396,Referral,8722920098698535020,2,1475444719,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),25,21,733,(direct),(none)
695403,Paid Search,4108989538863797757,5,1475444966,iOS,True,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),28,22,914,google,cpc
695405,Referral,3779052441133019116,1,1475450351,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),29,24,338,(direct),(none)
695408,Organic Search,0962996931279982608,1,1475474052,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),29,25,973,google,organic
695415,Organic Search,5745206935661366884,1,1475413483,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,prtc.net,31,23,1160,google,organic
695434,Organic Search,9377429831454005466,21,1475463443,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,38,28,530,google,organic
695441,Direct,0060402135554655326,6,1475444991,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,43,36,466,(direct),(none)
695444,Referral,8874986476437588959,3,1475455362,Windows,False,New York,New York NY,New York,(not set),44,33,1340,(direct),(none)
695446,Direct,4237736699372437949,2,1475414968,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,45,37,758,(direct),(none)
695448,Referral,2369561597136874183,1,1475447769,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,45,33,634,(direct),(none)
695453,Referral,4389802785459743912,1,1475412093,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),51,37,864,(direct),(none)
695454,Organic Search,4996510286543496531,1,1475465826,Macintosh,False,California,Los Angeles CA,Los Angeles,rr.com,51,42,1131,google,organic
695456,Organic Search,8166898430517779079,3,1475459139,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,cableone.net,53,40,1724,google,organic
695461,Organic Search,9597957223706817135,1,1475436238,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,wednet.edu,62,48,838,google,organic
695466,Referral,0769891055069398469,3,1475454049,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcastbusiness.net,106,72,3821,(direct),(none)
695468,Organic Search,8076486872734382011,1,1475427697,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),170,115,1772,google,organic
702272,Organic Search,8041546903984196642,1,1513202543,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcastbusiness.net,42,31,723,google,organic
702274,Organic Search,8486482823966869082,1,1513220479,Linux,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),45,39,1060,google,organic
702275,Organic Search,3840829285799668489,1,1513222792,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),48,22,392,google,organic
702304,Referral,6031310779970868483,2,1513164782,Chrome OS,False,New York,New York NY,New York,rr.com,5,5,198,(direct),(none)
702359,Referral,667194279990485601,2,1513194964,Linux,False,California,Los Angeles CA,Los Angeles,(not set),6,6,105,(direct),(none)
702408,Referral,7757334151687597073,5,1513221399,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),7,7,149,(direct),(none)
702477,Referral,0573396668266135421,2,1513235231,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcastbusiness.net,11,9,304,(direct),(none)
702499,Organic Search,6467887357002917120,1,1513220185,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,vmc.com,13,12,293,google,organic
702518,Referral,3265430229416336228,3,1513177193,Macintosh,False,New York,New York NY,New York,rcncustomer.com,15,13,655,(direct),(none)
702519,Organic Search,797414745303106157,3,1513193497,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,cox.net,15,13,310,google,organic
702525,Referral,0261284034447885499,3,1513193555,Macintosh,False,New York,New York NY,New York,(not set),16,10,388,(direct),(none)
702527,Referral,7854203354292610825,5,1513200125,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),16,15,454,(direct),(none)
702542,Referral,3354153433465665012,9,1513229058,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,19,14,336,(direct),(none)
702543,Referral,1636431060269096157,1,1513206614,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),20,15,547,(direct),(none)
702545,Direct,0749722163187521360,4,1513175225,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),20,17,354,(direct),(none)
702549,Organic Search,9788997348242406174,1,1513196376,Macintosh,False,California,Los Angeles CA,Los Angeles,belairinternet.com,22,18,913,google,organic
702550,Referral,05715987581449919,2,1513226198,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,comcast.net,22,16,465,(direct),(none)
702552,Organic Search,8056269694598704201,3,1513197620,Macintosh,False,Illinois,Chicago IL,Chicago,geetel.net,23,19,553,google,organic
702555,Direct,8565731147092347133,1,1513175810,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,surewest.net,25,16,664,(direct),(none)
702557,Referral,8460566254953055838,1,1513199381,Linux,False,New York,New York NY,New York,(not set),25,21,1171,(direct),(none)
702559,Referral,1268415150734205990,1,1513195795,Macintosh,False,New York,New York NY,New York,(not set),26,21,525,(direct),(none)
702565,Organic Search,0742393930217629768,1,1513168536,Windows,False,Florida,Miami-Ft. Lauderdale FL,Miami,miamibroadband.org,31,24,546,google,organic
702570,Referral,767734252789537302,5,1513188719,Linux,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),35,26,537,(direct),(none)
702574,Referral,6366132085971136293,3,1513212629,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Mountain View,unknown.unknown,45,32,1789,(direct),(none)
702576,Referral,6911004203944782979,6,1513191540,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),50,39,443,(direct),(none)
702577,Referral,9040184296133711016,5,1513197169,Macintosh,False,Pennsylvania,Pittsburgh PA,Pittsburgh,verizon.net,51,34,605,(direct),(none)
702578,Referral,1400626933150416490,1,1513214629,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),55,37,2532,(direct),(none)
702580,Organic Search,7385037676594853012,2,1513206723,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,58,41,1105,google,organic
702582,Referral,9157233050971542437,2,1513189974,Macintosh,False,Arizona,Phoenix AZ,Phoenix,cox.net,63,42,815,(direct),(none)
702585,Paid Search,2251154974724567915,5,1513200925,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),71,43,1034,google,cpc
702586,Direct,293522844627567224,1,1513200999,Android,True,Washington,Seattle-Tacoma WA,Seattle,(not set),88,66,1493,(direct),(none)
702590,Direct,1420567440567865704,1,1513185533,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),9,9,315,(direct),(none)
702592,Direct,8636986351953816591,1,1513167689,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,10,10,286,(direct),(none)
702598,Referral,6197415285098149335,3,1513197613,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Bruno,(not set),42,23,377,(direct),(none)
702600,Referral,8086513194800742250,3,1513187398,Macintosh,False,New York,New York NY,New York,(not set),66,36,1941,(direct),(none)
702604,Direct,0423504071777483481,1,1513198913,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,nyiso.com,23,19,280,(direct),(none)
702605,Direct,8013783451068456325,1,1513196309,Macintosh,False,District of Columbia,Washington DC (Hagerstown MD),Washington,unknown.unknown,9,9,181,(direct),(none)
702616,Direct,1434088579539412569,1,1513189684,Macintosh,False,Texas,Austin TX,Austin,(not set),20,14,390,(direct),(none)
702634,Organic Search,5409916282572628699,1,1513215685,Macintosh,False,Texas,Austin TX,Austin,(not set),12,10,470,google,organic
702637,Organic Search,2595409082947328526,1,1513219598,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),13,11,406,google,organic
702641,Organic Search,8650297930399997703,2,1513236651,Macintosh,False,Michigan,Detroit MI,Ann Arbor,bhn.net,17,13,431,google,organic
702644,Referral,7492788547560073841,3,1513185404,Windows,False,California,San Francisco-Oakland-San Jose CA,Mountain View,(not set),27,19,1845,(direct),(none)
702689,Direct,7930065858269072200,1,1513209026,iOS,True,New York,New York NY,New York,verizon.net,23,18,435,(direct),(none)
702777,Organic Search,4495179402106207540,4,1513214833,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),16,15,557,google,organic
705011,Referral,0305825211470741731,6,1513211641,Macintosh,False,Texas,Austin TX,Austin,(not set),2,2,,(direct),(none)
706410,Paid Search,8289823105768261598,6,1473404974,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),2,2,,google,cpc
706977,Referral,8747852564220610479,2,1473456932,Macintosh,False,New York,New York NY,New York,(not set),9,8,210,(direct),(none)
707026,Organic Search,1065722595338308305,2,1473476950,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,11,11,157,google,organic
707027,Referral,6561335265655404482,3,1473427993,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),11,11,625,dealspotr.com,referral
707047,Referral,7657116022844782849,2,1473429118,Macintosh,False,New York,New York NY,New York,(not set),12,10,286,(direct),(none)
707080,Referral,067516997967648879,4,1473431728,Macintosh,False,Massachusetts,Boston MA-Manchester NH,Cambridge,(not set),13,11,141,(direct),(none)
707082,Referral,2255733734516957926,9,1473468703,Macintosh,False,New York,New York NY,New York,verizon.net,13,13,183,(direct),(none)
707133,Organic Search,8232554790596957878,1,1473443030,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,themresort.com,15,13,383,google,organic
707145,Referral,7970701992007145468,9,1473426031,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),16,14,486,(direct),(none)
707174,Organic Search,3891062223801208797,1,1473461813,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),19,17,483,google,organic
707182,Referral,8221394973703658443,3,1473453627,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),19,17,763,(direct),(none)
707200,Referral,5594550862521912148,3,1473463953,Macintosh,False,New York,New York NY,New York,(not set),21,16,222,(direct),(none)
707203,Direct,7718460789580849626,1,1473437571,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,21,18,754,(direct),(none)
707229,Organic Search,5100514931968748842,1,1473471169,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),22,18,1385,google,organic
707230,Display,3689862038819738204,2,1473432004,Macintosh,False,New York,New York NY,New York,(not set),23,18,360,dfa,cpm
707236,Organic Search,9153569028584301784,1,1473434807,Macintosh,False,New York,New York NY,New York,verizon.net,23,17,497,google,organic
707244,Display,5519604416801831347,1,1473441269,Linux,False,New York,New York NY,New York,(not set),25,21,364,dfa,cpm
707256,Referral,4257424863358354998,1,1473483064,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Palo Alto,(not set),26,20,894,(direct),(none)
707257,Direct,9347594099928593114,2,1473443755,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),26,20,437,(direct),(none)
707259,Referral,1832154460054501004,3,1473454958,Linux,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),27,24,603,(direct),(none)
707264,Direct,0097216552247524030,1,1473441570,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),28,22,489,(direct),(none)
707267,Direct,2074164338647079047,20,1473446196,Windows,False,Virginia,Roanoke-Lynchburg VA,Salem,comcastbusiness.net,28,22,323,(direct),(none)
707282,Organic Search,331053449765638219,1,1473423999,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,31,26,608,google,organic
707287,Referral,5574984436191734530,7,1473431394,Macintosh,False,New York,New York NY,New York,(not set),32,25,558,(direct),(none)
707292,Referral,9330433473613640440,4,1473463220,Linux,False,Washington,Seattle-Tacoma WA,Kirkland,(not set),32,24,647,(direct),(none)
707293,Direct,8542904760257700339,1,1473431331,Windows,False,State of Sao Paulo,(not set),Sao Paulo,(not set),34,31,1230,(direct),(none)
707301,Referral,3252602877117379170,2,1473457159,Windows,False,California,San Francisco-Oakland-San Jose CA,Sunnyvale,(not set),35,27,735,(direct),(none)
707302,Organic Search,2416762481769496280,2,1473453463,Macintosh,False,Texas,Austin TX,Austin,(not set),36,30,728,google,organic
707303,Referral,2352233424314349714,1,1473430979,Macintosh,False,New York,New York NY,New York,(not set),36,26,439,(direct),(none)
707308,Direct,3915384889161784454,8,1473451009,Macintosh,False,California,San Francisco-Oakland-San Jose CA,Santa Clara,(not set),40,30,982,(direct),(none)
707309,Referral,247613008812895646,4,1473453914,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),40,32,671,(direct),(none)
707314,Referral,5332341363747831465,1,1473451841,Macintosh,False,New York,New York NY,New York,(not set),42,36,1833,(direct),(none)
707317,Referral,5492630606781186660,3,1473436255,Chrome OS,False,Illinois,Chicago IL,Chicago,(not set),44,31,851,(direct),(none)
707333,Direct,9415047435363681557,5,1473454376,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),52,40,1683,(direct),(none)
707334,Direct,3296839339658161126,1,1473446712,Chrome OS,False,Washington,Seattle-Tacoma WA,Seattle,(not set),53,42,1986,(direct),(none)
707340,Direct,5179406468603236023,1,1473404450,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,comcast.net,57,44,1158,(direct),(none)
707354,Organic Search,9020183156357919977,3,1473441095,Macintosh,False,New York,New York NY,New York,(not set),94,66,1475,google,organic
707360,Paid Search,3447003791318310120,2,1473407534,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,embarqhsd.net,122,88,3238,google,cpc
709834,Referral,638910012539429673,2,1481507756,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,comcast.net,11,11,223,(direct),(none)
709886,Direct,963545935326060098,4,1481482095,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,sbcglobal.net,13,12,572,(direct),(none)
709916,Direct,2706500429954403422,2,1481508973,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,rr.com,15,14,669,(direct),(none)
709923,Paid Search,2807673742303315908,9,1481479149,iOS,True,California,Los Angeles CA,Los Angeles,comcast.net,15,13,314,(direct),(none)
709932,Paid Search,8084853554695349186,4,1481478267,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,16,16,230,(direct),(none)
709934,Referral,4754999393353711212,4,1481501107,Chrome OS,False,Washington,Seattle-Tacoma WA,Kirkland,comcast.net,16,14,447,(direct),(none)
709956,Organic Search,4382298785216499010,1,1481501262,Macintosh,False,New York,New York NY,New York,(not set),17,17,742,(direct),(none)
709964,Direct,9566536237552821183,1,1481481564,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,sbcglobal.net,18,18,326,(direct),(none)
709968,Organic Search,60802643524541285,3,1481487601,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),18,15,454,(direct),(none)
709987,Referral,9914300408059481847,1,1481492113,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,21,19,414,(direct),(none)
709990,Referral,7517997316226476864,4,1481521825,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Francisco,comcast.net,21,18,1212,(direct),(none)
709991,Referral,541723931810773095,4,1481463210,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),21,19,630,(direct),(none)
709995,Referral,1150675365558064618,1,1481482260,Macintosh,False,California,San Francisco-Oakland-San Jose CA,San Mateo,(not set),22,19,586,(direct),(none)
709998,Organic Search,6007466842428480250,2,1481503389,Macintosh,False,New York,New York NY,New York,(not set),22,18,2144,(direct),(none)
710003,Organic Search,9571301648285059423,6,1481511099,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),23,20,2045,(direct),(none)
710007,Referral,9386787389707627667,2,1481505557,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),24,20,475,connect.googleforwork.com,referral
710012,Organic Search,6924624858911861429,3,1481506874,Android,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),24,22,936,(direct),(none)
710015,Referral,0102127042498450827,1,1481504013,Linux,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,25,20,587,(direct),(none)
710032,Organic Search,0457728965473786479,1,1481518347,Chrome OS,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),29,26,1240,(direct),(none)
710035,Organic Search,9705754144788625017,1,1481496959,Windows,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,myfairpoint.net,29,22,424,(direct),(none)
710036,Direct,5627918840858473196,1,1481485052,Windows,False,North Carolina,Charlotte NC,Charlotte,unknown.unknown,30,22,1142,(direct),(none)
710038,Referral,9850558045899887104,2,1481505422,Macintosh,False,New York,New York NY,New York,rr.com,30,28,502,(direct),(none)
710039,Paid Search,1114521449277749382,1,1481520666,Macintosh,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,comcast.net,31,26,346,(direct),(none)
710041,Direct,590094729131157044,1,1481510316,iOS,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,textilemanagement.com,31,21,773,(direct),(none)
710042,Direct,9234156111722725905,3,1481483944,iOS,True,California,San Francisco-Oakland-San Jose CA,San Francisco,(not set),31,23,318,(direct),(none)
